charite_doi,reusing_paper_doi,publication_year,authors,publication_year_reusing,authors_reusing,doi_validity
10.1038/s41597-019-0254-8,10.48550/arxiv.2411.15388,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Chiara Mauri;R. Fritz;Jocelyn Mora;Benjamin Billot;Juan Eugenio Iglesias;Koen Van Leemput;Jean C. Augustinack;Douglas N. Greve,TRUE
10.1038/s41597-020-00597-w,10.1121/10.0017356,2020,Peter Birkholz;Steffen Kürbis;Simon Stone;Patrick Häsner;Rémi Blandin;Mario Fleischer,2023,Antoine Serrurier;Christiane Neuschaefer-Rube,TRUE
10.1038/s41597-020-00597-w,10.21437/interspeech.2024-1749,2020,Peter Birkholz;Steffen Kürbis;Simon Stone;Patrick Häsner;Rémi Blandin;Mario Fleischer,2024,Debasish Ray Mohapatra;Victor Zappi;Sidney Fels,TRUE
10.1038/s41597-020-00597-w,10.21437/interspeech.2024-2087,2020,Peter Birkholz;Steffen Kürbis;Simon Stone;Patrick Häsner;Rémi Blandin;Mario Fleischer,2024,Rongshuai Wu;Debasish Ray Mohapatra;Sidney Fels,TRUE
10.1038/s41597-020-0495-6,10.48550/arxiv.2403.06659,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2024,Che Liu;Zhongwei Wan;Cheng Ouyang;Anand Shah;Wenjia Bai;Rossella Arcucci,TRUE
10.1038/s41597-020-0495-6,10.1007/s10489-024-05881-5,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2024,Yifan Li;Mengjue Wang;Mingxiang Guan;Chen Lu;Zhiyong Li;Tieming Chen,TRUE
10.1038/s41597-020-0495-6,10.1007/s11760-025-03893-3,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Fatma Lati̇foğlu;Semra İçer;Ayşegül Güven;Aigul Zhusupova;Ömer Levent Avşaroğulları;Şaban Keleşoğlu;Nihat Kalay;Fırat ORHANBULUCU;Merve İnce;Arif Ertürk;Berat Özdet,TRUE
10.1038/s41597-020-0495-6,10.1007/s42979-024-03560-3,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2024,Bidyut Bikash Borah;Khushboo Das;Uddipan Hazarika;Soumik Roy,TRUE
10.1038/s41597-020-0495-6,10.1016/j.compeleceng.2025.110177,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Xiuxin Zhang;Meng Chen;Yongjian Li;Jiahui Gao;Yiheng Sun;Feifei Liu;Shoushui Wei,TRUE
10.1038/s41597-020-0495-6,10.1016/j.eswa.2025.126901,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Qinghua Sun;Jiali Li;Chunmiao Liang;Rugang Liu;Jiaojiao Pang;Yuguo Chen;Cong Wang,TRUE
10.1038/s41597-020-0495-6,10.1016/j.imu.2025.101624,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Kazuki Hebiguchi;Hiroyoshi Togo;Akimasa Hirata,TRUE
10.1038/s41597-020-0495-6,10.1016/j.inffus.2025.102999,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Chien‐Liang Liu;Bin Xiao;Ching-Tang Hsieh,TRUE
10.1038/s41597-020-0495-6,10.1016/j.knosys.2025.113173,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Ning Wang;Haiyan Wang;Panpan Feng;Shihua Li;Jian Tan;Zongmin Wang;Bing Zhou,TRUE
10.1038/s41597-020-0495-6,10.1016/j.patcog.2024.111311,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2024,Yufeng Wei;Cheng Lian;Bingrong Xu;Pengbo Zhao;Honggang Yang;Zhigang Zeng,TRUE
10.1038/s41597-020-0495-6,10.1038/s41598-024-83218-5,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2024,Maria Galanty;Dieuwertje Luitse;Sijm H. Noteboom;Philip Merio Croon;Alexander P. J. Vlaar;Thomas Poell;Clara I. Sá‎nchez;Tobias Blanke;Ivana Išgum,TRUE
10.1038/s41597-020-0495-6,10.1038/s41598-024-84270-x,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Stojancho Tudjarski;Marjan Gušev;Evangelos Kanoulas,TRUE
10.1038/s41597-020-0495-6,10.1038/s41598-025-90084-2,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Wenping Chen;Huibin Wang;Lili Zhang;Min Zhang,TRUE
10.1038/s41597-020-0495-6,10.48550/arxiv.2501.07555,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Sana Rahmani;Reetam Chatterjee;Ali Etemad;Javad Hashemi,TRUE
10.1038/s41597-020-0495-6,10.1101/2025.02.14.638219,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Jacqueline Michelle Metsch;Philip Hempel;M. Mäurer;Nicolai Spicher;Anne-Christin Hauschild,TRUE
10.1038/s41597-020-0495-6,10.1371/journal.pone.0318070,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Qiao Xiao;Chaofeng Wang,TRUE
10.1038/s41597-020-0495-6,10.22489/cinc.2024.210,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2024,Damian Kucharski;Arkadiusz Paweł Czerwiński;Agata M. Wijata;Jacek Kawa;Yalin Zheng;Gregory Y.H. Lip;Jakub Nalepa,TRUE
10.1038/s41597-020-0495-6,10.22489/cinc.2024.225,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2024,Weijie Sun;Siqi Cao;Sunil V. Kalmady;Md. Saiful Islam;Taimur Hassan;Abram Hindle;Russell Greiner;Padma Kaul,TRUE
10.1038/s41597-020-0495-6,10.22489/cinc.2024.229,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2024,Mathilde A. Verlyck;Joshua R. Dillon;Stephen A. Creamer;Debbie Zhao,TRUE
10.1038/s41597-020-0495-6,10.22489/cinc.2024.481,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2024,Samer Jammoul;A. E. Hassan;Emily Zhang;Philip Warrick;Jonathan Afilalo,TRUE
10.1038/s41597-020-0495-6,10.26599/tst.2023.9010162,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2024,Pan Xia;Zhongrui Bai;Yicheng Yao;Lirui Xu;Hao Zhang;Lidong Du;Xianxiang Chen;Ye Qiao;Yusi Zhu;Peng Wang;Xiaoran Li;Guangyun Wang;Zhen Fang,TRUE
10.1038/s41597-020-0495-6,10.3390/s25041220,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Ali Kırkbaş;Aydın Kızılkaya,TRUE
10.1038/s41597-020-0495-6,10.3390/s25051400,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Roger de T. Guerra;Cristina Keiko Yamaguchi;Stéfano Frizzo Stefenon;Leandro dos Santos Coelho;Viviana Cocco Mariani,TRUE
10.1038/s41597-020-0495-6,10.48084/etasr.9155,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Nasir Ayub;Nadeem Sarwar;Ali Arshad;Hamayun Khan;Irfanud Din;Abdullah M. Alqahtani;Mohamed Abdulnabi;Aitizaz Ali,TRUE
10.1038/s41597-020-0495-6,10.48550/arxiv.2502.19668,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Mingsheng Cai;Jiuming Jiang;Wenhao Huang;Che Liu;Rossella Arcucci,TRUE
10.1038/s41597-020-00597-w,10.22028/d291-41147,2020,Peter Birkholz;Steffen Kürbis;Simon Stone;Patrick Häsner;Rémi Blandin;Mario Fleischer,2023,Raphael J. Werner,TRUE
10.1038/s41597-020-0495-6,10.48550/arxiv.2412.14373,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2024,William Han;Chaojing Duan;Michael L. Rosenberg;Emerson Liu;Ding Zhao,TRUE
10.1038/s41597-019-0254-8,10.1038/s41467-024-47552-6,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Leon A. Steiner;David Crompton;Srdjan Sumarac;Artur Vetkas;J�rgen Germann;Maximilian Scherer;Maria Justich;Alexandre Boutet;Milos R. Popovic;Mojgan Hodaie;Suneil K. Kalia;Alfonso Fasano;William D. Hutchison WD;Andres M. Lozano;Milad Lankarany;Andrea A. K�hn;Luka Milosevic,TRUE
10.1038/s41597-020-0495-6,10.48550/arxiv.2501.15318,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Yi Zhou;Naman Goel,TRUE
10.1038/s41597-020-0495-6,10.48550/arxiv.2501.16215,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Huayu Li;Xiwen Chen;Ci Zhang;Stuart F. Quan;William D. S. Killgore;Shu-Fen Wung;陳信希 Hsin-His Chen;Geng Yuan;Jin‐Jian Lu;Ao Li,TRUE
10.1038/s41597-020-0495-6,10.48550/arxiv.2501.16476,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Robert O’Shea;Bipin Rajendran,TRUE
10.1038/s41597-020-0495-6,10.48550/arxiv.2501.18367,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Yifan Wang;H. Ai;Ruiqi Li;Maowei Jiang;Cheng Jiang;Chenzhong Li,TRUE
10.1038/s41597-020-0495-6,10.48550/arxiv.2502.04515,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Wei Fan;Jing Fei;Dingyu Guo;Kun Yi;Xiaozhuang Song;Haolong Xiang;Hangting Ye;Min Li,TRUE
10.1038/s41597-020-0495-6,10.48550/arxiv.2502.05494,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Zhou Ya;Yujie Yang;John Q. Gan;Xiangjie Li;Jing Yuan;Wei Zhao,TRUE
10.1038/s41597-020-0495-6,10.48550/arxiv.2502.09744,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2025,Mahad Ali;Curtis Lisle;Patrick W. Moore;Tammer Barkouki;Betty Kirkwood;Laura J. Brattain,TRUE
10.1038/s41597-019-0161-z,10.1038/s41598-021-97600-0,2019,Mykola Kadobianskyi;Lisanne Schulze;Markus Schuelke;Benjamin Judkewitz,2021,Ralf Britz;Kevin W. Conway;Lukas R�ber ,TRUE
10.1038/s41597-022-01401-7,10.1002/hbm.26803,2022,Sook‐Lei Liew;Bethany Lo;Miranda R. Donnelly;Artemis Zavaliangos‐Petropulu;Jessica N. Jeong;Giuseppe Barisano;A. Hutton;Julia Pia Simon;Julia M. Juliano;Anisha Suri;Zhizhuo Wang;Aisha Abdullah;Jun Kim;Tyler Ard;Nerisa Banaj;Michael R. Borich;Lara A. Boyd;Amy Brodtmann;Cathrin M. Buetefisch;Lei Cao;Jessica M. Cassidy;Valentina Ciullo;Adriana Bastos Conforto;Steven C. Cramer;Rosalía Dacosta‐Aguayo;Ezequiel de la Rosa;Martin Domín;Adrienne N. Dula;Wuwei Feng;Alexandre R. Franco;Fatemeh Geranmayeh;Alexandre Gramfort;Chris M. Gregory;Colleen A. Hanlon;Brenton Hordacre;Steven A. Kautz;Mohamed Salah Khlif;Hosung Kim;Jan S. Kirschke;Jingchun Liu;Martín Lotze;Bradley J. MacIntosh;María Mataró;Feroze B. Mohamed;Jan Egil Nordvik;Gilsoon Park;Amy Pienta;Fabrizio Piras;Shane M. Redman;Kate Revill;Mauricio Reyes;Andrew D. Robertson;Na Jin Seo;Surjo R. Soekadar;Gianfranco Spalletta;Alison Sweet;Maria Teleńczuk;Gregory Thielman;Lars T. Westlye;Carolee J. Winstein;George F. Wittenberg;Kristin A. Wong;Chunshui Yu,2024,Ramsha Ahmed;Aamna Al Shehhi;Naoufel Werghi;Mohamed L. Seghier,TRUE
10.1038/s41597-022-01401-7,10.1002/nbm.5143,2022,Sook‐Lei Liew;Bethany Lo;Miranda R. Donnelly;Artemis Zavaliangos‐Petropulu;Jessica N. Jeong;Giuseppe Barisano;A. Hutton;Julia Pia Simon;Julia M. Juliano;Anisha Suri;Zhizhuo Wang;Aisha Abdullah;Jun Kim;Tyler Ard;Nerisa Banaj;Michael R. Borich;Lara A. Boyd;Amy Brodtmann;Cathrin M. Buetefisch;Lei Cao;Jessica M. Cassidy;Valentina Ciullo;Adriana Bastos Conforto;Steven C. Cramer;Rosalía Dacosta‐Aguayo;Ezequiel de la Rosa;Martin Domín;Adrienne N. Dula;Wuwei Feng;Alexandre R. Franco;Fatemeh Geranmayeh;Alexandre Gramfort;Chris M. Gregory;Colleen A. Hanlon;Brenton Hordacre;Steven A. Kautz;Mohamed Salah Khlif;Hosung Kim;Jan S. Kirschke;Jingchun Liu;Martín Lotze;Bradley J. MacIntosh;María Mataró;Feroze B. Mohamed;Jan Egil Nordvik;Gilsoon Park;Amy Pienta;Fabrizio Piras;Shane M. Redman;Kate Revill;Mauricio Reyes;Andrew D. Robertson;Na Jin Seo;Surjo R. Soekadar;Gianfranco Spalletta;Alison Sweet;Maria Teleńczuk;Gregory Thielman;Lars T. Westlye;Carolee J. Winstein;George F. Wittenberg;Kristin A. Wong;Chunshui Yu,2024,Zelong Liu;Komal Kainth;Alexander Zhou;Timothy Deyer;Zahi A. Fayad;Hayit Greenspan;Xueyan Mei,TRUE
10.1038/s41597-022-01401-7,10.1007/978-3-031-73281-2_16,2022,Sook‐Lei Liew;Bethany Lo;Miranda R. Donnelly;Artemis Zavaliangos‐Petropulu;Jessica N. Jeong;Giuseppe Barisano;A. Hutton;Julia Pia Simon;Julia M. Juliano;Anisha Suri;Zhizhuo Wang;Aisha Abdullah;Jun Kim;Tyler Ard;Nerisa Banaj;Michael R. Borich;Lara A. Boyd;Amy Brodtmann;Cathrin M. Buetefisch;Lei Cao;Jessica M. Cassidy;Valentina Ciullo;Adriana Bastos Conforto;Steven C. Cramer;Rosalía Dacosta‐Aguayo;Ezequiel de la Rosa;Martin Domín;Adrienne N. Dula;Wuwei Feng;Alexandre R. Franco;Fatemeh Geranmayeh;Alexandre Gramfort;Chris M. Gregory;Colleen A. Hanlon;Brenton Hordacre;Steven A. Kautz;Mohamed Salah Khlif;Hosung Kim;Jan S. Kirschke;Jingchun Liu;Martín Lotze;Bradley J. MacIntosh;María Mataró;Feroze B. Mohamed;Jan Egil Nordvik;Gilsoon Park;Amy Pienta;Fabrizio Piras;Shane M. Redman;Kate Revill;Mauricio Reyes;Andrew D. Robertson;Na Jin Seo;Surjo R. Soekadar;Gianfranco Spalletta;Alison Sweet;Maria Teleńczuk;Gregory Thielman;Lars T. Westlye;Carolee J. Winstein;George F. Wittenberg;Kristin A. Wong;Chunshui Yu,2024,Malek Ben Alaya;Daniel M. Lang;Benedikt Wiestler;Julia A. Schnabel;Cosmin I. Bercea,TRUE
10.1038/s41597-022-01401-7,10.1007/978-3-031-78761-4_11,2022,Sook‐Lei Liew;Bethany Lo;Miranda R. Donnelly;Artemis Zavaliangos‐Petropulu;Jessica N. Jeong;Giuseppe Barisano;A. Hutton;Julia Pia Simon;Julia M. Juliano;Anisha Suri;Zhizhuo Wang;Aisha Abdullah;Jun Kim;Tyler Ard;Nerisa Banaj;Michael R. Borich;Lara A. Boyd;Amy Brodtmann;Cathrin M. Buetefisch;Lei Cao;Jessica M. Cassidy;Valentina Ciullo;Adriana Bastos Conforto;Steven C. Cramer;Rosalía Dacosta‐Aguayo;Ezequiel de la Rosa;Martin Domín;Adrienne N. Dula;Wuwei Feng;Alexandre R. Franco;Fatemeh Geranmayeh;Alexandre Gramfort;Chris M. Gregory;Colleen A. Hanlon;Brenton Hordacre;Steven A. Kautz;Mohamed Salah Khlif;Hosung Kim;Jan S. Kirschke;Jingchun Liu;Martín Lotze;Bradley J. MacIntosh;María Mataró;Feroze B. Mohamed;Jan Egil Nordvik;Gilsoon Park;Amy Pienta;Fabrizio Piras;Shane M. Redman;Kate Revill;Mauricio Reyes;Andrew D. Robertson;Na Jin Seo;Surjo R. Soekadar;Gianfranco Spalletta;Alison Sweet;Maria Teleńczuk;Gregory Thielman;Lars T. Westlye;Carolee J. Winstein;George F. Wittenberg;Kristin A. Wong;Chunshui Yu,2024,Liang Shang;Zhengyang Lou;Andrew L. Alexander;Vivek Prabhakaran;William A. Sethares;Veena A. Nair;Nagesh Adluru,TRUE
10.1038/s41597-022-01401-7,10.1007/978-3-031-81101-2_5,2022,Sook‐Lei Liew;Bethany Lo;Miranda R. Donnelly;Artemis Zavaliangos‐Petropulu;Jessica N. Jeong;Giuseppe Barisano;A. Hutton;Julia Pia Simon;Julia M. Juliano;Anisha Suri;Zhizhuo Wang;Aisha Abdullah;Jun Kim;Tyler Ard;Nerisa Banaj;Michael R. Borich;Lara A. Boyd;Amy Brodtmann;Cathrin M. Buetefisch;Lei Cao;Jessica M. Cassidy;Valentina Ciullo;Adriana Bastos Conforto;Steven C. Cramer;Rosalía Dacosta‐Aguayo;Ezequiel de la Rosa;Martin Domín;Adrienne N. Dula;Wuwei Feng;Alexandre R. Franco;Fatemeh Geranmayeh;Alexandre Gramfort;Chris M. Gregory;Colleen A. Hanlon;Brenton Hordacre;Steven A. Kautz;Mohamed Salah Khlif;Hosung Kim;Jan S. Kirschke;Jingchun Liu;Martín Lotze;Bradley J. MacIntosh;María Mataró;Feroze B. Mohamed;Jan Egil Nordvik;Gilsoon Park;Amy Pienta;Fabrizio Piras;Shane M. Redman;Kate Revill;Mauricio Reyes;Andrew D. Robertson;Na Jin Seo;Surjo R. Soekadar;Gianfranco Spalletta;Alison Sweet;Maria Teleńczuk;Gregory Thielman;Lars T. Westlye;Carolee J. Winstein;George F. Wittenberg;Kristin A. Wong;Chunshui Yu,2025,Zixin Liu;Haowen Pang;Xinru Zhang;Chuyang Ye,TRUE
10.1038/s41597-022-01401-7,10.1016/j.media.2024.103301,2022,Sook‐Lei Liew;Bethany Lo;Miranda R. Donnelly;Artemis Zavaliangos‐Petropulu;Jessica N. Jeong;Giuseppe Barisano;A. Hutton;Julia Pia Simon;Julia M. Juliano;Anisha Suri;Zhizhuo Wang;Aisha Abdullah;Jun Kim;Tyler Ard;Nerisa Banaj;Michael R. Borich;Lara A. Boyd;Amy Brodtmann;Cathrin M. Buetefisch;Lei Cao;Jessica M. Cassidy;Valentina Ciullo;Adriana Bastos Conforto;Steven C. Cramer;Rosalía Dacosta‐Aguayo;Ezequiel de la Rosa;Martin Domín;Adrienne N. Dula;Wuwei Feng;Alexandre R. Franco;Fatemeh Geranmayeh;Alexandre Gramfort;Chris M. Gregory;Colleen A. Hanlon;Brenton Hordacre;Steven A. Kautz;Mohamed Salah Khlif;Hosung Kim;Jan S. Kirschke;Jingchun Liu;Martín Lotze;Bradley J. MacIntosh;María Mataró;Feroze B. Mohamed;Jan Egil Nordvik;Gilsoon Park;Amy Pienta;Fabrizio Piras;Shane M. Redman;Kate Revill;Mauricio Reyes;Andrew D. Robertson;Na Jin Seo;Surjo R. Soekadar;Gianfranco Spalletta;Alison Sweet;Maria Teleńczuk;Gregory Thielman;Lars T. Westlye;Carolee J. Winstein;George F. Wittenberg;Kristin A. Wong;Chunshui Yu,2024,J. Charles Cox;Peng Liu;Skylar E. Stolte;Yunchao Yang;Kang Liu;Kyle B. See;Huiwen Ju;Ruogu Fang,TRUE
10.1038/s41597-022-01401-7,10.1016/j.neuroscience.2025.01.020,2022,Sook‐Lei Liew;Bethany Lo;Miranda R. Donnelly;Artemis Zavaliangos‐Petropulu;Jessica N. Jeong;Giuseppe Barisano;A. Hutton;Julia Pia Simon;Julia M. Juliano;Anisha Suri;Zhizhuo Wang;Aisha Abdullah;Jun Kim;Tyler Ard;Nerisa Banaj;Michael R. Borich;Lara A. Boyd;Amy Brodtmann;Cathrin M. Buetefisch;Lei Cao;Jessica M. Cassidy;Valentina Ciullo;Adriana Bastos Conforto;Steven C. Cramer;Rosalía Dacosta‐Aguayo;Ezequiel de la Rosa;Martin Domín;Adrienne N. Dula;Wuwei Feng;Alexandre R. Franco;Fatemeh Geranmayeh;Alexandre Gramfort;Chris M. Gregory;Colleen A. Hanlon;Brenton Hordacre;Steven A. Kautz;Mohamed Salah Khlif;Hosung Kim;Jan S. Kirschke;Jingchun Liu;Martín Lotze;Bradley J. MacIntosh;María Mataró;Feroze B. Mohamed;Jan Egil Nordvik;Gilsoon Park;Amy Pienta;Fabrizio Piras;Shane M. Redman;Kate Revill;Mauricio Reyes;Andrew D. Robertson;Na Jin Seo;Surjo R. Soekadar;Gianfranco Spalletta;Alison Sweet;Maria Teleńczuk;Gregory Thielman;Lars T. Westlye;Carolee J. Winstein;George F. Wittenberg;Kristin A. Wong;Chunshui Yu,2025,Bilal Bayram;İsmail Kunduracıoğlu;Suat İnce;İshak Paçal,TRUE
10.1038/s41597-022-01401-7,10.1038/s41467-025-56321-y,2022,Sook‐Lei Liew;Bethany Lo;Miranda R. Donnelly;Artemis Zavaliangos‐Petropulu;Jessica N. Jeong;Giuseppe Barisano;A. Hutton;Julia Pia Simon;Julia M. Juliano;Anisha Suri;Zhizhuo Wang;Aisha Abdullah;Jun Kim;Tyler Ard;Nerisa Banaj;Michael R. Borich;Lara A. Boyd;Amy Brodtmann;Cathrin M. Buetefisch;Lei Cao;Jessica M. Cassidy;Valentina Ciullo;Adriana Bastos Conforto;Steven C. Cramer;Rosalía Dacosta‐Aguayo;Ezequiel de la Rosa;Martin Domín;Adrienne N. Dula;Wuwei Feng;Alexandre R. Franco;Fatemeh Geranmayeh;Alexandre Gramfort;Chris M. Gregory;Colleen A. Hanlon;Brenton Hordacre;Steven A. Kautz;Mohamed Salah Khlif;Hosung Kim;Jan S. Kirschke;Jingchun Liu;Martín Lotze;Bradley J. MacIntosh;María Mataró;Feroze B. Mohamed;Jan Egil Nordvik;Gilsoon Park;Amy Pienta;Fabrizio Piras;Shane M. Redman;Kate Revill;Mauricio Reyes;Andrew D. Robertson;Na Jin Seo;Surjo R. Soekadar;Gianfranco Spalletta;Alison Sweet;Maria Teleńczuk;Gregory Thielman;Lars T. Westlye;Carolee J. Winstein;George F. Wittenberg;Kristin A. Wong;Chunshui Yu,2025,Cosmin I. Bercea;Benedikt Wiestler;Daniel Rueckert;Julia A. Schnabel,TRUE
10.1038/s41597-022-01401-7,10.1109/access.2024.3522214,2022,Sook‐Lei Liew;Bethany Lo;Miranda R. Donnelly;Artemis Zavaliangos‐Petropulu;Jessica N. Jeong;Giuseppe Barisano;A. Hutton;Julia Pia Simon;Julia M. Juliano;Anisha Suri;Zhizhuo Wang;Aisha Abdullah;Jun Kim;Tyler Ard;Nerisa Banaj;Michael R. Borich;Lara A. Boyd;Amy Brodtmann;Cathrin M. Buetefisch;Lei Cao;Jessica M. Cassidy;Valentina Ciullo;Adriana Bastos Conforto;Steven C. Cramer;Rosalía Dacosta‐Aguayo;Ezequiel de la Rosa;Martin Domín;Adrienne N. Dula;Wuwei Feng;Alexandre R. Franco;Fatemeh Geranmayeh;Alexandre Gramfort;Chris M. Gregory;Colleen A. Hanlon;Brenton Hordacre;Steven A. Kautz;Mohamed Salah Khlif;Hosung Kim;Jan S. Kirschke;Jingchun Liu;Martín Lotze;Bradley J. MacIntosh;María Mataró;Feroze B. Mohamed;Jan Egil Nordvik;Gilsoon Park;Amy Pienta;Fabrizio Piras;Shane M. Redman;Kate Revill;Mauricio Reyes;Andrew D. Robertson;Na Jin Seo;Surjo R. Soekadar;Gianfranco Spalletta;Alison Sweet;Maria Teleńczuk;Gregory Thielman;Lars T. Westlye;Carolee J. Winstein;George F. Wittenberg;Kristin A. Wong;Chunshui Yu,2024,Ahmed M.S. Soliman;Yalda Zafari-Ghadim;Yousif Yousif;Ahmed Ibrahim;Amr Mohamed;Essam A. Rashed;Mohamed A. Mabrok,TRUE
10.1038/s41597-019-0129-z,10.1038/s41593-022-01070-0,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2022,Andrea I. Luppi;Pedro A. M. Mediano;Fernando E. Rosas;Negin Holland;Tim D. Fryer;John T. O�Brien;James B. Rowe;David K. Menon;Daniel Bor;Emmanuel A. Stamatakis,TRUE
